checked_at,AA1476,AA1872,AA2966,AA3105,AS265,AS328,AS410,AS429,AS583,AS587,DL2041,DL2055,DL637,UA2099,UA2618,UA2835,UA341
2026-08-18 21:02:43,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 21:12:20,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 21:22:23,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 21:32:24,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 21:42:27,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 21:52:24,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 22:02:29,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 22:12:22,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 22:22:20,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 22:32:26,159.00,159.00,159.00,159.00,220.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 22:42:26,159.00,159.00,159.00,159.00,220.00,209.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 22:52:25,159.00,159.00,159.00,159.00,220.00,209.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 23:02:28,159.00,159.00,159.00,159.00,229.00,209.00,139.00,209.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 23:12:19,159.00,159.00,159.00,159.00,229.00,163.00,139.00,166.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 23:22:46,159.00,159.00,159.00,159.00,252.00,209.00,139.00,209.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 23:32:36,159.00,159.00,159.00,159.00,229.00,163.00,139.00,166.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 23:42:32,159.00,159.00,159.00,159.00,229.00,163.00,139.00,166.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-18 23:52:28,159.00,159.00,159.00,159.00,229.00,163.00,139.00,166.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 00:02:29,159.00,159.00,159.00,159.00,229.00,163.00,139.00,171.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 00:12:22,159.00,159.00,159.00,159.00,229.00,163.00,139.00,171.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 00:22:25,159.00,159.00,159.00,159.00,229.00,163.00,139.00,171.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 00:32:28,159.00,159.00,159.00,159.00,229.00,163.00,139.00,171.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 00:42:23,159.00,159.00,159.00,159.00,229.00,163.00,139.00,171.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 00:52:21,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 01:02:29,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 01:12:19,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 01:22:23,159.00,,159.00,159.00,,,,,139.00,139.00,169.00,,,159.00,,,159.00
2026-08-19 01:32:32,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 01:42:24,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 01:52:24,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 02:02:38,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 02:12:44,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 02:22:37,159.00,159.00,159.00,159.00,252.00,209.00,139.00,209.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 02:32:27,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 02:42:38,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 02:52:49,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 03:02:35,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 03:12:28,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 03:22:35,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 03:32:32,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 03:42:28,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 03:52:25,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 04:02:37,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 04:12:30,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 04:22:33,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 04:32:33,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 04:42:22,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 04:52:31,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 05:02:32,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 05:12:31,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 05:22:17,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 05:32:32,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 05:42:22,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 05:52:29,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 06:02:27,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 06:12:22,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 06:22:26,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 06:32:32,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 06:42:24,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 06:52:28,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 07:02:31,159.00,159.00,159.00,159.00,229.00,163.00,139.00,162.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 07:12:38,159.00,159.00,159.00,159.00,209.00,139.00,139.00,209.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 07:22:34,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 07:32:29,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 07:42:30,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 07:52:29,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 08:02:34,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 08:12:28,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 08:22:22,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 08:32:35,159.00,159.00,159.00,159.00,209.00,139.00,139.00,169.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
