checked_at,AA1011,AA2448,AA3551,AA4162,DL1544,DL1567,DL2028,DL724,UA1593,UA215,UA2232,UA2773,UA2805,UA307,UA576
2026-08-19 06:44:55,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,94.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 06:55:03,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,94.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 07:05:03,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,94.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 07:15:10,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,94.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 07:25:10,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,94.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 07:35:08,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,94.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 07:44:56,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,94.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 07:55:09,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,94.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 08:05:09,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,94.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 08:15:04,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,94.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 08:24:55,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,94.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 08:35:13,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,94.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 08:45:01,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,94.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 08:55:05,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,94.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 09:05:11,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 09:14:56,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 09:25:00,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 09:35:03,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 09:45:00,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 09:55:01,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 10:05:09,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 10:15:00,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 10:24:51,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 10:34:59,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 10:44:59,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 10:54:53,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 11:05:04,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 11:14:58,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 11:25:13,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 11:34:56,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 11:44:52,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 11:55:10,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 12:05:02,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 12:14:59,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 12:25:16,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 12:35:27,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 12:45:12,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
2026-08-19 12:54:52,69.00,69.00,164.00,69.00,349.00,269.00,124.00,124.00,59.00,76.00,59.00,59.00,59.00,59.00,59.00
