checked_at,AA38,AF6755,BA1529,BA206,IB3583,IB4251,KL4809,VS6
2026-08-27 01:29:16,663.00,662.00,672.00,663.00,668.00,673.00,662.00,663.00
2026-08-27 01:39:20,663.00,,,663.00,,,,663.00
2026-08-27 01:49:26,663.00,,672.00,663.00,668.00,673.00,,663.00
2026-08-27 01:59:22,663.00,,,663.00,,,,663.00
2026-08-27 02:09:18,663.00,662.00,672.00,663.00,668.00,673.00,662.00,663.00
2026-08-27 02:19:17,663.00,662.00,672.00,663.00,668.00,673.00,662.00,663.00
2026-08-27 02:29:31,663.00,,,663.00,,,,663.00
2026-08-27 02:39:28,,662.00,672.00,656.00,668.00,673.00,662.00,662.00
2026-08-27 02:49:20,663.00,662.00,672.00,663.00,668.00,673.00,662.00,663.00
2026-08-27 02:59:20,663.00,,,663.00,,,,663.00
2026-08-27 03:09:14,663.00,662.00,672.00,663.00,668.00,673.00,662.00,663.00
2026-08-27 03:19:16,663.00,,,663.00,,,,663.00
2026-08-27 03:29:30,663.00,,672.00,663.00,668.00,673.00,,663.00
2026-08-27 03:39:21,663.00,662.00,672.00,663.00,668.00,673.00,662.00,663.00
2026-08-27 03:49:16,663.00,662.00,672.00,663.00,668.00,673.00,662.00,663.00
2026-08-27 03:59:22,663.00,,,663.00,,,,663.00
2026-08-27 04:09:24,663.00,,672.00,663.00,668.00,673.00,,663.00
2026-08-27 04:19:25,663.00,,,663.00,,,,663.00
2026-08-27 04:29:26,663.00,,672.00,663.00,668.00,673.00,,663.00
2026-08-27 04:39:27,663.00,,675.00,663.00,671.00,747.00,,663.00
2026-08-27 04:49:25,663.00,662.00,672.00,663.00,668.00,673.00,662.00,663.00
2026-08-27 04:59:30,663.00,,672.00,663.00,668.00,673.00,,663.00
2026-08-27 05:09:32,663.00,,,663.00,,,,663.00
2026-08-27 05:19:23,663.00,662.00,672.00,663.00,668.00,673.00,662.00,663.00
2026-08-27 05:29:30,663.00,,672.00,663.00,668.00,673.00,,663.00
2026-08-27 05:39:31,663.00,,,663.00,,,,663.00
2026-08-27 05:49:29,663.00,662.00,672.00,663.00,668.00,673.00,662.00,663.00
2026-08-27 05:59:15,663.00,662.00,672.00,663.00,668.00,673.00,662.00,663.00
2026-08-27 06:09:20,663.00,,,663.00,,,,663.00
2026-08-27 06:19:26,663.00,,,663.00,,,,663.00
2026-08-27 06:29:29,663.00,,672.00,663.00,668.00,674.00,,663.00
2026-08-27 06:39:20,663.00,662.00,672.00,663.00,668.00,674.00,662.00,663.00
2026-08-27 06:49:25,663.00,,672.00,663.00,668.00,673.00,,663.00
2026-08-27 06:59:27,663.00,,,663.00,,,,663.00
2026-08-27 07:09:21,663.00,662.00,672.00,663.00,668.00,673.00,662.00,663.00
2026-08-27 07:19:01,663.00,662.00,672.00,663.00,668.00,673.00,662.00,663.00
2026-08-27 07:29:07,663.00,,,663.00,,,,663.00
2026-08-27 07:39:12,663.00,,,663.00,,,,663.00
2026-08-27 07:49:16,663.00,,672.00,663.00,668.00,673.00,,663.00
2026-08-27 07:59:21,663.00,,706.00,663.00,747.00,745.00,,663.00
2026-08-27 08:09:22,663.00,,672.00,663.00,668.00,673.00,,663.00
2026-08-27 08:19:19,663.00,,706.00,663.00,747.00,745.00,,663.00
2026-08-27 08:29:22,663.00,,672.00,663.00,668.00,673.00,,663.00
2026-08-27 08:39:23,663.00,,,663.00,,,,663.00
2026-08-27 08:49:28,663.00,,672.00,663.00,668.00,673.00,,663.00
2026-08-27 08:59:24,663.00,,,663.00,,,,663.00
2026-08-27 09:09:31,663.00,,672.00,663.00,668.00,673.00,,663.00
2026-08-27 09:19:24,663.00,662.00,,663.00,662.00,,662.00,663.00
2026-08-27 09:29:18,663.00,662.00,672.00,663.00,668.00,673.00,662.00,663.00
2026-08-27 09:39:26,663.00,,,663.00,,,,663.00
2026-08-27 09:49:26,663.00,,672.00,663.00,668.00,673.00,,663.00
2026-08-27 09:59:23,663.00,662.00,,663.00,662.00,,662.00,663.00
2026-08-27 10:09:30,663.00,,672.00,663.00,668.00,673.00,,663.00
2026-08-27 10:19:20,663.00,662.00,672.00,663.00,668.00,673.00,662.00,663.00
2026-08-27 10:29:21,663.00,,672.00,663.00,668.00,672.00,,663.00
2026-08-27 10:39:25,663.00,,,663.00,,,,663.00
2026-08-27 10:49:28,663.00,,672.00,663.00,668.00,672.00,,663.00
2026-08-27 10:59:23,663.00,662.00,,663.00,662.00,,662.00,663.00
2026-08-27 11:09:27,663.00,662.00,672.00,663.00,668.00,672.00,662.00,663.00
2026-08-27 11:19:25,663.00,,,663.00,,,,663.00
2026-08-27 11:29:31,663.00,,672.00,663.00,668.00,672.00,,663.00
2026-08-27 11:39:32,663.00,,,663.00,,,,663.00
2026-08-27 11:49:24,663.00,662.00,672.00,663.00,668.00,672.00,662.00,663.00
2026-08-27 11:59:29,663.00,,672.00,663.00,668.00,672.00,,663.00
2026-08-27 12:19:16,663.00,662.00,672.00,663.00,668.00,672.00,662.00,663.00
2026-08-27 12:29:23,663.00,,672.00,663.00,668.00,672.00,,663.00
2026-08-27 12:39:27,663.00,,,663.00,,,,663.00
2026-08-27 12:49:33,663.00,,672.00,663.00,668.00,672.00,,663.00
2026-08-27 12:59:39,663.00,,672.00,663.00,668.00,745.00,,663.00
2026-08-27 13:09:26,663.00,662.00,672.00,663.00,668.00,673.00,662.00,663.00
2026-08-27 13:19:24,663.00,662.00,672.00,663.00,668.00,673.00,662.00,663.00
2026-08-27 13:29:23,663.00,,,663.00,,673.00,,663.00
2026-08-27 13:39:34,,,672.00,670.00,668.00,673.00,,
2026-08-27 13:49:19,663.00,662.00,672.00,663.00,668.00,673.00,662.00,663.00
2026-08-27 13:59:22,663.00,,706.00,663.00,747.00,673.00,,663.00
2026-08-27 14:09:29,663.00,,672.00,663.00,668.00,,,663.00
2026-08-27 14:19:30,663.00,,672.00,663.00,668.00,673.00,,663.00
2026-08-27 14:29:27,663.00,662.00,672.00,663.00,668.00,,662.00,663.00
2026-08-27 14:39:26,663.00,662.00,672.00,663.00,668.00,673.00,662.00,663.00
2026-08-27 14:49:33,663.00,,,663.00,,,,663.00
2026-08-27 14:59:32,663.00,,672.00,663.00,668.00,673.00,,663.00
2026-08-27 15:09:32,663.00,662.00,672.00,663.00,668.00,747.00,662.00,663.00
2026-08-27 15:19:30,663.00,662.00,672.00,663.00,668.00,672.00,662.00,663.00
2026-08-27 15:29:31,663.00,,,663.00,,,,663.00
2026-08-27 15:39:27,663.00,662.00,672.00,663.00,668.00,672.00,662.00,663.00
2026-08-27 15:49:31,663.00,,672.00,663.00,668.00,672.00,,663.00
2026-08-27 15:59:31,663.00,662.00,,663.00,660.00,,662.00,663.00
2026-08-27 16:09:27,663.00,662.00,672.00,663.00,668.00,672.00,662.00,663.00
2026-08-27 16:19:29,663.00,,,663.00,,,,663.00
2026-08-27 16:29:32,663.00,,683.00,663.00,747.00,672.00,,663.00
2026-08-27 16:39:29,663.00,,,663.00,,,,663.00
2026-08-27 16:49:33,663.00,,672.00,663.00,668.00,672.00,,663.00
2026-08-27 16:59:25,,662.00,,656.00,660.00,672.00,662.00,662.00
2026-08-27 17:09:28,663.00,,672.00,663.00,668.00,672.00,,663.00
2026-08-27 17:19:26,663.00,662.00,,663.00,660.00,672.00,662.00,663.00
2026-08-27 17:29:28,663.00,,672.00,663.00,668.00,671.00,,663.00
2026-08-27 17:39:34,663.00,,,663.00,,,,663.00
2026-08-27 17:49:30,663.00,662.00,672.00,663.00,668.00,671.00,662.00,663.00
2026-08-27 17:59:25,663.00,662.00,672.00,663.00,668.00,671.00,662.00,663.00
2026-08-27 18:19:30,663.00,,,663.00,,,,663.00
2026-08-27 18:29:41,663.00,,,663.00,,,,663.00
2026-08-27 18:39:30,663.00,662.00,672.00,663.00,668.00,671.00,662.00,663.00
2026-08-27 18:49:19,663.00,662.00,672.00,663.00,668.00,671.00,662.00,663.00
2026-08-27 18:59:18,663.00,,,663.00,,,,663.00
2026-08-27 19:09:24,663.00,,,663.00,,,,663.00
2026-08-27 19:19:25,663.00,,672.00,663.00,668.00,671.00,,663.00
2026-08-27 19:29:25,663.00,,,663.00,,,,663.00
2026-08-27 19:39:36,663.00,,,663.00,,,,663.00
2026-08-27 19:49:33,663.00,662.00,672.00,663.00,668.00,671.00,662.00,663.00
2026-08-27 19:59:20,663.00,662.00,672.00,663.00,668.00,671.00,662.00,663.00
2026-08-27 20:09:26,663.00,,,663.00,,,,663.00
2026-08-27 20:19:31,663.00,,672.00,663.00,668.00,671.00,,663.00
2026-08-27 20:29:38,663.00,,,663.00,,,,663.00
2026-08-27 20:39:26,663.00,662.00,672.00,663.00,668.00,671.00,662.00,663.00
2026-08-27 20:59:36,663.00,,672.00,663.00,668.00,671.00,,663.00
2026-08-27 21:09:33,663.00,,,663.00,,,,663.00
2026-08-27 21:19:41,663.00,,672.00,663.00,668.00,671.00,,663.00
2026-08-27 21:29:31,663.00,662.00,672.00,663.00,668.00,671.00,662.00,663.00
2026-08-27 21:39:35,663.00,,672.00,663.00,668.00,671.00,,663.00
2026-08-27 21:49:35,663.00,662.00,,663.00,660.00,,662.00,663.00
2026-08-27 21:59:32,,662.00,672.00,656.00,668.00,671.00,662.00,662.00
2026-08-27 22:09:25,663.00,,672.00,663.00,668.00,671.00,,663.00
2026-08-27 22:19:21,663.00,,,663.00,,,,663.00
2026-08-27 22:29:29,663.00,,,663.00,,,,663.00
2026-08-27 22:39:23,663.00,662.00,673.00,663.00,668.00,671.00,662.00,663.00
2026-08-27 22:49:31,663.00,,673.00,663.00,668.00,671.00,,663.00
2026-08-27 22:59:30,663.00,662.00,675.00,663.00,671.00,747.00,662.00,663.00
2026-08-27 23:09:33,663.00,,673.00,663.00,668.00,671.00,,663.00
2026-08-27 23:19:29,663.00,662.00,675.00,663.00,671.00,747.00,662.00,663.00
2026-08-27 23:29:27,663.00,662.00,673.00,663.00,668.00,671.00,662.00,663.00
2026-08-27 23:39:22,663.00,,675.00,663.00,671.00,747.00,,663.00
2026-08-27 23:49:29,663.00,,673.00,663.00,668.00,671.00,,663.00
2026-08-27 23:59:36,663.00,,673.00,663.00,668.00,671.00,,663.00
2026-08-28 00:09:17,663.00,662.00,673.00,663.00,668.00,671.00,662.00,663.00
2026-08-28 00:19:20,663.00,,,663.00,,,,663.00
2026-08-28 00:29:23,663.00,,,663.00,,,,663.00
2026-08-28 00:39:22,663.00,,673.00,663.00,668.00,671.00,,663.00
2026-08-28 00:49:22,663.00,,,663.00,,,,663.00
2026-08-28 00:59:29,663.00,,,663.00,,,,663.00
2026-08-28 01:09:31,663.00,,673.00,663.00,668.00,671.00,,663.00
2026-08-28 01:19:34,,662.00,673.00,656.00,668.00,671.00,662.00,662.00
2026-08-28 01:29:24,663.00,662.00,673.00,663.00,668.00,671.00,662.00,663.00
2026-08-28 01:39:26,663.00,,,663.00,,,,663.00
2026-08-28 01:49:27,663.00,,,663.00,,,,663.00
2026-08-28 01:59:22,663.00,662.00,673.00,663.00,668.00,671.00,662.00,663.00
2026-08-28 02:09:30,663.00,,673.00,663.00,668.00,671.00,,663.00
2026-08-28 02:19:17,663.00,662.00,673.00,663.00,668.00,671.00,662.00,663.00
2026-08-28 02:29:19,663.00,,673.00,663.00,668.00,671.00,,663.00
2026-08-28 02:39:23,663.00,,,663.00,,,,663.00
2026-08-28 02:49:25,663.00,662.00,673.00,663.00,668.00,671.00,662.00,663.00
2026-08-28 02:59:15,663.00,662.00,673.00,663.00,668.00,671.00,662.00,663.00
2026-08-28 03:09:16,663.00,,,663.00,,,,663.00
2026-08-28 03:19:23,663.00,,673.00,663.00,668.00,671.00,,663.00
2026-08-28 03:29:26,663.00,,673.00,663.00,668.00,671.00,,663.00
2026-08-28 03:39:12,663.00,662.00,673.00,663.00,668.00,671.00,662.00,663.00
2026-08-28 03:49:26,663.00,,,663.00,,,,663.00
2026-08-28 03:59:20,663.00,662.00,673.00,663.00,668.00,671.00,662.00,663.00
2026-08-28 04:09:25,663.00,,673.00,663.00,668.00,671.00,,663.00
2026-08-28 04:19:24,663.00,662.00,673.00,663.00,668.00,671.00,662.00,663.00
2026-08-28 04:29:26,663.00,,,663.00,,,,663.00
2026-08-28 04:39:30,663.00,,673.00,663.00,668.00,671.00,,663.00
2026-08-28 04:49:28,663.00,,,663.00,,,,663.00
2026-08-28 04:59:32,663.00,,673.00,663.00,668.00,671.00,,663.00
2026-08-28 05:09:32,663.00,,,663.00,,,,663.00
2026-08-28 05:19:25,663.00,662.00,673.00,663.00,668.00,671.00,662.00,663.00
2026-08-28 05:29:29,663.00,,673.00,663.00,668.00,671.00,,663.00
2026-08-28 05:39:34,663.00,,,663.00,,,,663.00
2026-08-28 05:49:30,663.00,662.00,673.00,663.00,668.00,671.00,662.00,663.00
2026-08-28 05:59:36,663.00,,,663.00,,,,663.00
2026-08-28 06:09:40,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 06:19:34,663.00,662.00,,663.00,660.00,,662.00,663.00
2026-08-28 06:29:40,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 06:39:34,663.00,,,663.00,,,,663.00
2026-08-28 06:49:36,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 06:59:33,663.00,662.00,,663.00,660.00,,662.00,663.00
2026-08-28 07:09:27,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 07:19:29,663.00,,,663.00,,,,663.00
2026-08-28 07:29:37,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 07:39:29,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 07:49:33,663.00,,,663.00,,,,663.00
2026-08-28 07:59:38,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 08:09:36,663.00,662.00,,663.00,660.00,,662.00,663.00
2026-08-28 08:19:28,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 08:29:32,663.00,,,663.00,,,,663.00
2026-08-28 08:39:25,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 08:49:26,663.00,,,663.00,,,,663.00
2026-08-28 08:59:25,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 09:09:25,663.00,,,663.00,,673.00,,663.00
2026-08-28 09:19:33,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 09:29:32,663.00,662.00,,663.00,660.00,673.00,662.00,663.00
2026-08-28 09:39:29,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 09:49:33,663.00,,673.00,663.00,668.00,745.00,,663.00
2026-08-28 09:59:19,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 10:09:26,663.00,,,663.00,,,,663.00
2026-08-28 10:19:32,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 10:29:24,663.00,662.00,,663.00,660.00,673.00,662.00,663.00
2026-08-28 10:39:25,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 10:49:30,663.00,,673.00,663.00,668.00,745.00,,663.00
2026-08-28 10:59:38,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 11:09:29,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 11:19:29,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 11:29:35,663.00,,,663.00,,,,663.00
2026-08-28 11:39:24,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 11:49:24,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 11:59:29,663.00,,685.00,663.00,680.00,745.00,,663.00
2026-08-28 12:09:28,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 12:19:33,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 12:29:43,663.00,,684.00,663.00,680.00,745.00,,663.00
2026-08-28 12:39:32,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 12:49:28,663.00,662.00,684.00,663.00,660.00,745.00,662.00,663.00
2026-08-28 12:59:32,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 13:09:31,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 13:19:22,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 13:29:23,663.00,,,663.00,,,,663.00
2026-08-28 13:39:24,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 13:49:26,663.00,,,663.00,,,,663.00
2026-08-28 13:59:34,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 14:09:22,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 14:19:19,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 14:29:23,663.00,,,663.00,,,,663.00
2026-08-28 14:39:30,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 14:49:17,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 14:59:25,663.00,,,663.00,,,,663.00
2026-08-28 15:09:34,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 15:19:27,663.00,,,663.00,,,,663.00
2026-08-28 15:29:28,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 15:39:24,663.00,662.00,,663.00,660.00,,662.00,663.00
2026-08-28 15:49:34,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 15:59:22,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 16:09:26,663.00,,,663.00,,,,663.00
2026-08-28 16:19:33,663.00,,,663.00,,,,663.00
2026-08-28 16:29:33,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 16:39:34,663.00,,,663.00,,,,663.00
2026-08-28 16:49:44,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 16:59:26,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 17:09:22,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 17:19:28,663.00,,,663.00,,,,663.00
2026-08-28 17:29:31,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 17:39:19,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 17:49:23,663.00,,,663.00,,,,663.00
2026-08-28 17:59:26,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 18:09:24,663.00,,,663.00,,,,663.00
2026-08-28 18:19:35,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 18:29:34,663.00,,673.00,663.00,668.00,745.00,,663.00
2026-08-28 18:39:45,663.00,,706.00,663.00,747.00,673.00,,663.00
2026-08-28 18:49:30,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 18:59:28,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 19:09:26,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 19:19:31,663.00,,,663.00,,,,663.00
2026-08-28 19:29:24,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 19:39:27,663.00,,,663.00,,,,663.00
2026-08-28 19:49:33,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 19:59:25,663.00,662.00,,663.00,660.00,,662.00,663.00
2026-08-28 20:09:19,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 20:19:25,663.00,,,663.00,,,,663.00
2026-08-28 20:29:35,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 20:39:30,663.00,,675.00,663.00,671.00,745.00,,663.00
2026-08-28 20:49:30,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 20:59:30,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 21:09:34,663.00,,675.00,663.00,671.00,745.00,,663.00
2026-08-28 21:19:37,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 21:29:35,663.00,662.00,675.00,663.00,671.00,745.00,662.00,663.00
2026-08-28 21:39:42,663.00,,673.00,663.00,668.00,673.00,,663.00
2026-08-28 21:49:35,663.00,662.00,675.00,663.00,671.00,745.00,662.00,663.00
2026-08-28 21:59:32,663.00,662.00,673.00,663.00,668.00,673.00,662.00,663.00
2026-08-28 22:09:33,663.00,,673.00,663.00,669.00,673.00,,663.00
2026-08-28 22:19:35,663.00,,675.00,663.00,671.00,745.00,,663.00
2026-08-28 22:29:38,663.00,,673.00,663.00,669.00,673.00,,663.00
2026-08-28 22:39:40,663.00,,673.00,663.00,669.00,673.00,,663.00
2026-08-28 22:49:28,663.00,662.00,673.00,663.00,669.00,673.00,662.00,663.00
2026-08-28 22:59:26,663.00,662.00,673.00,663.00,669.00,673.00,662.00,663.00
2026-08-28 23:09:30,663.00,,675.00,663.00,671.00,745.00,,663.00
2026-08-28 23:19:33,663.00,,673.00,663.00,669.00,673.00,,663.00
2026-08-28 23:29:26,663.00,662.00,673.00,663.00,669.00,673.00,662.00,663.00
2026-08-28 23:39:26,663.00,,,663.00,,,,663.00
2026-08-28 23:49:30,663.00,,673.00,663.00,669.00,673.00,,663.00
2026-08-28 23:59:25,663.00,,,663.00,,,,663.00
2026-08-29 00:09:32,663.00,,673.00,663.00,669.00,673.00,,663.00
2026-08-29 00:19:35,663.00,,,663.00,,,,663.00
2026-08-29 00:29:29,663.00,662.00,673.00,663.00,669.00,673.00,662.00,663.00
2026-08-29 00:39:35,663.00,,673.00,663.00,669.00,673.00,,663.00
2026-08-29 00:49:35,663.00,,,663.00,,,,663.00
2026-08-29 00:59:36,663.00,662.00,673.00,663.00,669.00,673.00,662.00,663.00
2026-08-29 01:09:19,663.00,662.00,673.00,663.00,669.00,673.00,662.00,663.00
2026-08-29 01:19:20,663.00,,,663.00,,,,663.00
2026-08-29 01:29:28,663.00,,,663.00,,,,663.00
2026-08-29 01:39:26,663.00,662.00,673.00,663.00,669.00,673.00,662.00,663.00
2026-08-29 01:49:30,663.00,,,663.00,,,,663.00
2026-08-29 01:59:40,663.00,,673.00,663.00,669.00,673.00,,663.00
2026-08-29 02:09:26,663.00,662.00,673.00,663.00,669.00,673.00,662.00,663.00
2026-08-29 02:19:28,663.00,,,663.00,,,,663.00
2026-08-29 02:29:32,663.00,,673.00,663.00,669.00,673.00,,663.00
2026-08-29 02:39:32,663.00,,,663.00,,,,663.00
2026-08-29 02:49:36,663.00,,673.00,663.00,669.00,673.00,,663.00
2026-08-29 02:59:34,663.00,662.00,,663.00,662.00,,662.00,663.00
2026-08-29 03:09:24,663.00,662.00,673.00,663.00,669.00,673.00,662.00,663.00
2026-08-29 03:29:35,663.00,,673.00,663.00,669.00,673.00,,663.00
2026-08-29 03:39:27,663.00,662.00,684.00,663.00,662.00,673.00,662.00,663.00
2026-08-29 03:49:35,663.00,,673.00,663.00,669.00,673.00,,663.00
2026-08-29 03:59:36,663.00,,673.00,663.00,669.00,747.00,,663.00
2026-08-29 04:09:35,663.00,,673.00,663.00,669.00,673.00,,663.00
2026-08-29 04:19:29,663.00,,673.00,663.00,669.00,747.00,,663.00
2026-08-29 04:29:30,663.00,,675.00,663.00,671.00,673.00,,663.00
2026-08-29 04:39:30,663.00,,673.00,663.00,669.00,673.00,,663.00
2026-08-29 04:49:31,663.00,662.00,673.00,663.00,669.00,747.00,662.00,663.00
2026-08-29 04:59:36,663.00,,675.00,663.00,671.00,673.00,,663.00
2026-08-29 05:09:34,663.00,662.00,673.00,663.00,669.00,673.00,662.00,663.00
2026-08-29 05:19:32,663.00,662.00,675.00,663.00,671.00,673.00,662.00,663.00
2026-08-29 05:29:36,663.00,,673.00,663.00,669.00,673.00,,663.00
2026-08-29 05:39:34,663.00,,675.00,663.00,671.00,673.00,,663.00
2026-08-29 05:49:33,663.00,662.00,673.00,663.00,669.00,673.00,662.00,663.00
2026-08-29 05:59:11,663.00,662.00,673.00,663.00,669.00,673.00,662.00,663.00
2026-08-29 06:09:15,663.00,,,663.00,,,,663.00
2026-08-29 06:19:20,663.00,,,663.00,,,,663.00
2026-08-29 06:29:22,663.00,,673.00,663.00,669.00,673.00,,663.00
2026-08-29 06:39:26,663.00,,,663.00,,,,663.00
2026-08-29 06:49:24,663.00,662.00,673.00,663.00,669.00,673.00,662.00,663.00
2026-08-29 06:59:28,663.00,,,663.00,,,,663.00
2026-08-29 07:09:30,663.00,,673.00,663.00,669.00,673.00,,663.00
2026-08-29 07:19:27,663.00,,,663.00,,,,663.00
2026-08-29 07:29:30,663.00,,673.00,663.00,669.00,673.00,,663.00
2026-08-29 07:39:30,663.00,,,663.00,,,,663.00
2026-08-29 07:49:29,663.00,662.00,673.00,663.00,669.00,673.00,662.00,663.00
2026-08-29 07:59:31,663.00,,673.00,663.00,669.00,671.00,,663.00
2026-08-29 08:09:36,663.00,,,663.00,,,,663.00
